Reference area,Air pollution exposure (Exposure to PM2.5): % of population_pred2000,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre_pred2000,Average wages (Total): US dollars_pred2000,Employment rate (Men): % of working age population_pred2000,Employment rate (Men): Thousand persons_pred2000,Employment rate (Total): % of working age population_pred2000,Employment rate (Total): Thousand persons_pred2000,Employment rate (Women): % of working age population_pred2000,Employment rate (Women): Thousand persons_pred2000,Exchange rates (Total): National currency units/US dollar_pred2000,GDP per hour worked (Total): 2015=100_pred2000,GDP per hour worked (Total): US dollars_pred2000,Gender wage gap (Employees): Percentage_pred2000,Gender wage gap (Self-employed): Percentage_pred2000,Gross domestic product (GDP) (Total): Million US dollars_pred2000,Gross domestic product (GDP) (Total): US dollars/capita_pred2000,Purchasing power parities (PPP) (Total): National currency units/US dollar_pred2000,Trust in government (Total): Percentage_pred2000,Air pollution exposure (Exposure to PM2.5): % of population_slope,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre_slope,Average wages (Total): US dollars_slope,Employment rate (Men): % of working age population_slope,Employment rate (Men): Thousand persons_slope,Employment rate (Total): % of working age population_slope,Employment rate (Total): Thousand persons_slope,Employment rate (Women): % of working age population_slope,Employment rate (Women): Thousand persons_slope,Exchange rates (Total): National currency units/US dollar_slope,GDP per hour worked (Total): 2015=100_slope,GDP per hour worked (Total): US dollars_slope,Gender wage gap (Employees): Percentage_slope,Gender wage gap (Self-employed): Percentage_slope,Gross domestic product (GDP) (Total): Million US dollars_slope,Gross domestic product (GDP) (Total): US dollars/capita_slope,Purchasing power parities (PPP) (Total): National currency units/US dollar_slope,Trust in government (Total): Percentage_slope
Bulgaria,99.81067247820683,26.6058605230387,,,,,,,,1.308325393103459,66.26156134209123,15.431505319102143,12.319176630847096,,58130.051045430824,7008.886125618825,0.4533089203612448,,-0.0010396014943970708,-0.33824956413449137,,,,,,,,0.025393489655173393,2.3195629723590727,0.540197785987951,-0.49834461397050756,,5856.4385366720035,912.2557819693366,0.015598601806239721,
Cambodia,99.89519489414693,28.097417185554036,,,,,,,,,,,,,,,,,0.002079078455791213,-0.23868567870486812,,,,,,,,,,,,,,,,
Canada,37.53472353673624,9.171959526774572,45744.187001300976,74.93376866995081,7905.496799014771,70.01717467980302,14707.09573399031,65.08876923152718,6801.59649458123,1.34066338423645,85.02808605714335,43.56359333399064,23.759676985227088,54.65939778262964,896173.9174561799,29171.55976339942,1.2148255201970444,53.937654008137315,-2.2674303860524043,-0.12901706102117003,620.922131906388,0.08424874384236503,104.18709408867085,0.2053244581280765,220.07799014778104,0.32726587192117906,115.89110197044594,-0.008247177339901273,1.015635035960589,0.5203540832512201,-0.3229758915623894,-1.2225516115357036,53140.72586108429,1177.548453842359,-0.0001243408866994906,0.23231364181373274
Chile,96.91509028642582,22.809883561643815,19971.127221079078,73.99081243550026,3735.6936394088552,55.474231926384505,5607.711494581366,37.20125423116633,1872.0175753694784,497.08768185715235,72.46513116551841,17.772367122167907,8.164978534539273,,153968.10442758352,10088.33669048734,294.5539243408912,62.376339669753634,0.12159190535492131,0.04008630136986637,660.195689633691,-0.1246584520123714,65.99867438423615,0.35984710010318305,155.90473990147487,0.8330317853457222,89.90610049261093,10.16097203940865,1.928872841379313,0.473063881280783,0.1755861062129983,,17707.84629999994,848.5000528743868,5.705680845320056,-2.0226622697302985
China (People's Republic of),99.90847073474468,53.08617870485686,,,,,,,,8.097091277832448,,,,,4025087.9218251705,3195.4288881265093,2.7771009852217503,,-0.0004077210460771929,0.0786322540473202,,,,,,,,-0.08886785369457911,,,,,969684.511702945,678.3217257384434,0.06580225615763369,
Colombia,99.3876170610212,27.848022415939795,16268.448181363521,78.8687496617647,9339.385985294357,64.06899866176464,15586.440544118057,50.264932499999986,6247.060210294323,1647.9307582720066,80.5697397428562,10.061656873891707,17.0525268279913,,275471.0337783396,7337.7475509705255,697.1519793044572,61.812707547941045,-0.002869115815691648,-0.2763813200498136,302.86855081232096,-0.14612773529412437,172.742044117643,-0.02294098529411182,313.33211764704885,0.0846850000000045,140.58974411764189,80.53258253497394,1.4001271743842807,0.1748497571428557,-0.4737994690985368,,26112.929169950738,467.4675137881775,36.181271285221044,-1.754629006617649
Costa Rica,99.85109838107104,17.70662141967621,17342.91653016396,78.04384628205185,1127.9288717948766,63.6590941025637,1794.5938589743528,48.754534743590625,666.6644448717925,321.62429081774826,67.07512628374388,13.218995900493155,17.888379002143438,,31646.27300000377,8281.311457393691,162.06045328966138,40.1356745774508,0.0009153175591527657,0.0367511830635113,533.2710661685833,-0.2932698251748823,8.633346153846361,-0.23569444055941277,14.663230769230664,-0.16457276223782713,6.029908391608469,15.810255389162284,2.2287449990148085,0.43923543054186387,-0.6479926391483591,,3852.279137931005,667.004417851719,10.766771731034254,-0.16393553254900625
Croatia,100.10568181818181,23.839391656288853,,,,,,,,0.8337234699507392,76.57258008839699,26.392928175971974,0.5990519373316374,,50168.05061549228,11159.598612659844,0.4969199685276404,,-0.12648181818182125,-0.3046902864259007,,,,,,,,0.000113885221674887,1.532914203886137,0.5283626893814927,0.3524501417538878,,3946.109053639796,1025.1982071576588,-0.0022922525998905494,
Czechia,100.03380448318809,23.093543586550027,21060.802659535082,72.37496153846155,2700.95605615764,63.674153846153786,4796.156410837444,55.01461538461615,2095.2016354679854,28.549402642363816,69.8106819990162,27.49848567192089,17.508536137417877,30.29476749058818,175155.47463547438,17068.533130473923,13.390126081773317,23.75458464122039,-0.013396264009963504,-0.33329701120797056,697.1209414833008,0.3949038461538444,10.003212807881635,0.4698846153846049,17.802358128078602,0.5275384615384461,7.798554187192016,-0.42512282167486465,1.9849464009851974,0.7818720280788187,-0.170310561614085,-0.002856731323525454,13989.223157635519,1288.4180544236362,-0.027200867980289898,0.5558849477805592
Denmark,101.19416625155736,14.185663760896716,52911.66302294587,79.8264673913041,1437.7656403940887,75.55144565217384,2669.572389162564,71.20024275362317,1231.9979064039453,6.424746916256147,85.04695828965487,59.55227481280804,11.90665998789325,17.098965762605758,148311.15240788832,27918.41083817836,8.614952671921088,54.64376294338439,-2.627111457036091,-0.23188019925280065,671.885622605913,-0.20103260869565082,2.5028940886699527,-0.11055434782608561,7.895800492610806,-0.01867391304347748,5.385714285714294,-0.011132364532019552,1.0149987137931287,0.71073068719211,-0.35823339330375636,-0.7500580519174315,10437.725319704461,1691.395055270929,-0.09970512709359292,0.24979687522045782
Dominican Republic,97.11825217932727,17.15111207970108,,,,,,,,,,,,,,,,,0.20306014943961678,0.04789339975093374,,,,,,,,,,,,,,,,
Estonia,12.45101681195456,8.332996264009921,14833.933976650704,63.73369565217354,311.0214039408854,60.7771739130435,611.6162315270931,58.03124999999977,300.59689655172497,0.8580921379310333,65.603463510869,22.922699826087637,29.165935121430834,11.834978574957859,14473.492844338529,10476.41300423583,0.43568352413793576,26.877230179692788,-0.6920359900373837,-0.09170311332503503,934.3841392118143,0.6435770750988163,0.8929064039409873,0.7001976284584998,1.8510960591132843,0.7459733201581072,0.9570689655172133,-0.0012127413793103015,2.57942211561266,0.9012834426877333,-0.35677367676422445,-2.3508114620061744,1867.2413901477014,1436.3914934576403,0.006528382758620784,0.8256688560741776
Finland,6.874370485678469,7.782432129514376,43019.66700126149,69.15784615384632,1182.755098522175,66.6821153846156,2272.8562068965584,64.19650000000024,1090.185221674883,0.8608814551724131,85.19639643842447,50.537160589162795,21.082334986379465,48.29211059736781,134189.3640699517,25894.07721867878,0.9824216788177296,52.07954554817525,-0.46267459526776655,-0.11447322540473287,477.63001415271043,0.13761538461537973,7.567142857142829,0.2187884615384591,15.709999999999914,0.2992500000000045,8.135899014778266,-0.0014694793103448521,1.11921606157634,0.663901331527088,-0.19993459861247695,-1.6383869253219507,7992.156667980388,1372.8846331822967,-0.007464020197044053,0.5930399301232736
France,99.36067932752121,16.150635740971154,43989.82085766515,68.50039473684215,12998.432137931057,63.21129699248144,24099.492108374427,58.08868421052625,11101.062325123203,0.8622083921182253,87.07514070837465,56.874635181281064,10.714697647659442,50.565965326454716,1557572.259352684,25426.57088715164,0.9472209576354587,38.945627943984675,-1.3231505603985523,-0.25055354919053807,464.0306593004941,0.014868421052629819,54.36813793103437,0.153496240601497,166.79344334975312,0.2896052631578965,112.42505418719023,-0.001553867980295531,0.8426643640394006,0.5504008049261118,0.02901197260658504,-2.3754104881701776,88840.6959645341,1193.5479910887009,-0.010939895566502161,-0.06874745089702179
Georgia,97.21302615193028,18.552521793275226,,,,,,,,1.5949242242572836,,,,,-3689.3283626371995,-1217.772774582263,0.4497982975369652,,0.16852179327521727,0.03220149439601671,,,,,,,,0.049125390720389725,,,,,3249.7901813187277,887.1498094450676,0.022978471428571224,
Germany,101.12638044831874,17.350217310087146,50717.37800707389,70.97377406260716,20224.245546798105,64.37913197454418,36146.97151724144,57.720150653594146,15922.724187191925,0.857215066009851,86.5522799960595,55.719026817734175,19.73267888608393,70.38186696181674,2232820.3057301044,27596.523122759536,0.9291927408866876,28.339995614559484,-0.560799626401011,-0.290102241594021,418.6786264433442,0.42339583075336856,88.83590147782935,0.5834626109390915,275.2731724137903,0.7438743137254972,186.4382266009898,-0.001180641871921141,0.9495343108374598,0.6112736477832527,-0.29045190481116606,-2.2494074501817356,123959.1758871937,1479.4937384482798,-0.01121659261083715,1.7421611222793432
Greece,98.83054109589044,20.10479078455819,30599.34572290649,72.67799999999954,2578.284317241363,57.76588461538478,4113.6187793103345,43.04173076923095,1535.326999014782,0.8243709330049263,100.65931644532023,34.848826851231564,22.182864068912295,49.61674703827316,222818.80985615775,20479.676993014524,0.6574250926108336,29.977143773566695,-0.06316575342465787,-0.26897434620174027,-9.373224039422011,-0.4799999999999906,-15.904358620688868,-0.1662884615384655,-8.663834482757704,0.1463269230769228,7.240918226601126,0.0011880083743843399,0.11172453054187272,0.03867966945812177,-0.8398669843390641,-0.9651179588928289,6420.585767980265,598.0757798817843,-0.003015865024630228,-0.18380799568290132
Hungary,100.00000000000003,22.685762141967757,19319.99314633559,59.164597826087174,2020.315344827577,52.74504347826132,3707.33002463053,46.698036231885,1687.0119458128102,192.69553687586813,73.06070418522313,25.593893668965165,10.495215091858313,37.38027993376363,126217.25798225775,12352.039312286768,100.10496685418912,16.160411438912433,3.5669185059925197e-16,-0.34036488169364815,404.4451064395144,0.7625978260869506,18.067586206897,0.8790434782608643,34.76187192118329,0.9773695652173857,16.694088669950762,4.851769317241342,1.9985407009852016,0.7001087482758731,-0.20460857539516378,-1.2857323020097677,10455.098941872193,1096.67936737786,2.478281673399012,1.2235290938751366
Iceland,28.01881818181755,7.554247820672515,52995.39802388102,85.63968045112799,80.65039605911397,82.31603383458645,151.30080591133265,78.85751879699254,70.65113201970348,76.65577847685017,73.65734999113465,43.94593163251329,28.387522643138254,40.000393385286316,8382.027129064314,29977.01633903524,87.13509794581569,1.8901433523633386,-1.3878181818182462,-0.060360149439601246,990.2700366699693,-0.03977443609023868,1.2080453201970192,0.01941729323308177,2.2657182266009417,0.07939849624059445,1.0576817733990413,2.612562854187112,1.8231422985221515,1.08773513645319,-0.886387441946353,-1.6431532249285832,621.7597295566491,1433.5093102069018,3.0840262610836637,2.5655059618795657
India,99.98836861768376,70.84476774595169,,,,,,,,40.0314044748784,,,,,2312508.8172106743,1614.6009132938925,9.49705445615814,,-2.6151930262497233e-05,1.0134897882939033,,,,,,,,1.472486949261046,,,,,326079.61355189205,273.22606119117887,0.5902233438423474,
Ireland,73.04418181818255,11.116193648816761,39200.46298790234,74.75489130434784,952.9020443349727,64.83043478260876,1616.4353940886358,54.76793478260913,663.5380049261221,0.8615932620689639,54.35331736847456,51.21419223743851,20.957743181719707,26.255208210694946,100014.573194094,26405.122485369444,0.9036188443349698,32.376419802043074,-4.103181818181794,-0.17555529265255357,783.9355068571265,-0.17178853754940618,15.0481280788175,0.11996047430830149,36.934692118227105,0.4237648221343839,21.8858743842363,-0.001530955172413757,2.980493859113308,2.808358224630575,-0.6783826890887019,0.20359091056759615,16967.137212807873,3148.4509294581158,-0.004819196059112963,1.2903132626763585
Israel,99.99900000000007,23.83510647571609,34727.145749641466,61.899051518883766,1211.9915769019863,55.93993442528699,2194.4469296662137,50.07534103995681,982.4525829227641,3.866184419704414,82.06448367290568,33.033428471921525,23.508825260904587,,144214.54795270413,23129.95525579923,3.3695334827586336,22.40372345451442,-8.519199044064505e-16,-0.17156127023661139,290.8187434455418,0.441041880131365,42.61821784345767,0.6354828407224709,88.71002928297605,0.8260885331143845,46.0921288998342,-0.00866969901477661,1.4158819374384597,0.5699351522167561,-0.11020332679220284,,11571.56205763578,936.4554720908625,0.029886672413793305,1.1580938461470704
Italy,98.72499564134529,23.352739726027608,45216.4777858719,68.65007692307702,13260.305773399017,54.85134615384629,21153.777783251193,41.18923076923102,7893.46819211822,0.868266057142856,96.5711535221676,51.3963402433497,13.869837714779578,59.01835357155892,1515772.104368493,26313.784764778567,0.8108031034482686,30.957672295323107,-0.25322029887920805,-0.4021835616438326,58.60389271428551,-0.09830769230769322,5.731433497537004,0.17786538461538512,110.50273399014898,0.4510769230769293,104.77179064039444,-0.0020060330049260196,0.2641879088669919,0.1406040083743835,-0.4617099367839581,-0.8665215356071221,61272.222290147634,970.7723260837504,-0.00663718965517209,-0.20067851701467274
Japan,90.49295267745993,12.686414694894111,41066.692351379315,81.04178086699514,37877.859359605965,69.01716345812815,64004.43080788173,56.89431045320225,26128.068512315163,109.65584058719196,83.53928912807896,38.570079273892134,34.38898420879832,,3514024.2931675315,27656.05850641406,151.7998554738897,17.50039971651995,0.37989389788294686,0.04764557907845694,7.030215689655277,0.09162523645320073,-68.48229064039559,0.34050495566502564,69.21274384236735,0.585263477832513,137.8025566502445,-0.12405209064037845,1.0245394581280711,0.4730297330049222,-0.5878017883842384,,103541.19850492707,821.4155288965467,-3.0601103049260483,1.0780100642401695
Kazakhstan,97.75841407222924,20.296340597758388,,,,,,,,,,,,,,,,,0.08472839352428195,0.10890049813199366,,,,,,,,,,,,,,,,
Korea,99.43414508094648,24.039773972602802,33363.528005319415,74.10841141304353,12628.823389162659,62.10669999999993,21435.508679802646,50.29628173913056,8806.662426600873,1052.9114901320263,59.136295371793494,21.027557884614907,41.84298724735015,,882358.9437872171,18771.628438965883,761.1325719113338,15.130795713205316,0.0007042341220415984,0.1818616438356154,668.4564848522344,0.08751224308300323,151.43250738916288,0.23359707509881467,293.64732019705144,0.359268972332018,142.2170630541905,6.585593181773523,2.8718939370629384,1.0211818706293938,-0.4390632699704532,,72385.06206108442,1326.6671950000075,5.167403571428511,1.188675981058819
Latvia,102.2867272727276,19.811125155666332,13857.526607885258,63.01383116883028,497.6454999999987,58.95733766233775,977.3414615384609,55.27058441558438,479.6934615384621,0.7962909832512342,52.3363959967146,17.480418594417188,13.013759433714085,17.95366816404737,21039.637191133574,8479.438393877354,0.37674230443350076,16.56531426283459,-1.1857272727272665,-0.3322457036114635,918.0632918034972,0.419383116883155,-3.276750000000085,0.5705194805194823,-4.684346153846179,0.7051298701298627,-1.4073461538461756,0.002339540886699406,3.277003197865362,1.0945229720853917,0.47024041335283157,0.3923809187143023,2117.2512605911343,1224.634430820989,0.007754992118226553,0.5123903993615484
Liechtenstein,99.50636052303867,12.818539227895599,,,,,,,,,,,,,,,,,-0.8889495641344864,-0.1463173100871795,,,,,,,,,,,,,,,,
Lithuania,105.81878891656379,15.454781444582693,18350.795780002605,58.44440144478881,681.6918042655695,55.75292397660792,1367.7926040591683,53.25767113863162,686.1015049879593,1.0185909024630497,57.024842928295584,21.282575039410858,16.175179493056817,10.800251736529503,31011.47397263348,8673.175833005924,0.43678103284072256,5.350520479929855,-1.92612590286414,-0.23353212951432611,1183.5161023946132,0.6593653250773823,-0.9783023735812527,0.7881578947368507,-0.9058307533540745,0.9075593395252858,0.0722136222910741,-0.012625336945812611,3.0361283319650303,1.1331311970443103,-0.2734732985569087,0.5117603178725375,4067.039339354047,1538.6827988858804,0.0006756642036124679,1.6449433755146048
Luxembourg,102.72953922789247,13.900990037359804,63239.20577112306,73.1997932330826,103.66784615384768,61.39473684210532,174.00861152708967,49.425601503759935,66.456615384619,0.8568873477832493,95.53811690344855,95.32584994679826,15.314467792000414,51.30655615149044,23236.765891622752,53918.15678207204,0.9594066472906331,81.28018572428505,-1.9541173100870703,-0.20507496886675322,668.6876883941019,-0.0883834586466164,2.5331153846153707,0.3384210526315818,5.5956946798030955,0.7657518796992113,3.349538461538394,-0.001156306403940843,0.3466826586206899,0.34591239458128087,-0.9533185342499907,-2.160069756424142,2687.84616009859,3698.859366896481,-0.005962947290640205,-0.5141314728570913
Malaysia,99.66852864259039,21.063254047322573,,,,,,,,,,,,,,,,,-0.09330946450809435,-0.25138829389788175,,,,,,,,,,,,,,,,
Malta,98.44976712328767,16.30725902864259,,,,,,,,0.8642942916256149,,,10.473314978500298,,6217.088863163721,17017.69274063036,0.578041129447181,,0.10697260273972668,-0.1640508094645082,,,,,,,,-0.0019343640394088547,,,-0.08438063625003578,,817.1951253420904,1472.2256253037453,-0.0003525908593322313,
Mexico,99.804401618929,28.9732073474471,17177.094508098555,80.61646233547344,24562.875083744293,59.51978368913859,37446.08744827658,40.933496821829976,12883.210098522017,8.580239566502769,98.23657717931033,19.72134388177342,17.038375299820075,,1134346.8901339471,11209.906510295696,5.328600093596265,36.0536921675,-0.019215317559152664,-0.49817721046077,43.249105970442926,-0.1298872632423796,433.0479852216672,0.10263290262171605,859.5616551724079,0.2775509149277661,426.5138669950647,0.5224341403940786,-0.06803206551724106,0.034585532019704976,-0.14509921184862903,,76862.6627935977,519.0049890665022,0.22266616502462785,0.19646829757352696
Moldova,100.08996637608965,20.400097758406105,,,,,,,,,,,,,,,,,-0.02032801992528026,-0.2978018679950182,,,,,,,,,,,,,,,,
Mongolia,92.72745330012447,29.989555417186466,,,,,,,,,,,,,,,,,0.263911083437114,0.8579295143212937,,,,,,,,,,,,,,,,
Montenegro,99.99757222914076,30.514089663760956,,,,,,,,,,,,,,,,,-0.0001064757160647523,-0.40972528019924703,,,,,,,,,,,,,,,,
Morocco,99.99642092154427,30.5141344956414,,,,,,,,9.282967158620686,,,,,128454.90861666575,5128.999687283358,4.0793177674876695,,1.7434620174599988e-05,0.1171120797011213,,,,,,,,-0.008185455172413644,,,,,9399.017889285788,183.285979403574,-0.01555624679802922,
Netherlands,100.07364445828159,17.10077085927776,60931.742009724374,80.21059782608687,4318.104556650236,71.7790760869566,7547.406576354697,63.156521739130085,3229.289679802998,0.8561058068965512,87.0506390433502,59.04902456847299,17.0824820005854,43.764617307058415,486733.6526216492,30646.34732778417,0.9017403527093482,54.99692379097303,-0.07111295143213116,-0.2837242839352446,309.5489202068907,0.10328557312253163,22.86613300492624,0.35536067193676096,74.26954433497497,0.6163043478260899,51.404199507388384,-0.0010980448275861635,0.810814839408869,0.5499997004926135,-0.16326965958536757,-0.9976090125000131,29324.63604729139,1572.6287239408803,-0.006846087192117999,0.3159666187529741
New Zealand,0.14785056039850808,6.618033001245379,38040.160391309764,78.32563432512325,997.5540640394174,70.7843298817736,1830.694285714315,63.50936079802955,833.142339901482,1.6937140197044158,84.73706268867022,35.269963825615946,10.50445087545495,35.42229785426133,82768.53419113904,21429.58459205972,1.4729136660098516,57.554934254343095,-0.006924533001245399,-0.03498916562889371,597.3600589310487,0.16207088177339948,20.086884236453223,0.31907898029556564,41.46019704433518,0.4702312364531984,21.373263546797883,-0.016275192118226138,0.947462280295567,0.3943606295566474,-0.24037466573792846,-0.17072780174615135,6819.8696399015635,1166.699920044342,-0.00067585911330045,0.18595372655244782
North Macedonia,100.00000000000001,45.006401618928976,,,,,,,,50.18677765517248,,,,,9655.485554348677,5084.6925167967565,19.50172040717939,,-1.152556042402208e-16,-0.5962153175591479,,,,,,,,0.11694596551724566,,,,,1398.3603567193452,628.2926327441558,-0.0490281035897396,
Norway,41.549504358653394,9.673662515566434,37478.23835069034,79.55679347826089,1177.3085467980272,76.38559782608696,2220.479778325098,73.12961956521733,1043.2199014778344,6.906758774384286,90.38323952118253,73.67777513990222,9.500066528444506,36.42576960436327,157709.12365025654,35197.12179855164,9.090409031527106,57.12863856667559,-2.406479701120806,-0.16311457036115154,864.540535172434,-0.13411561264822783,13.93395320197031,-0.05718873517786614,27.21642857142907,0.019540513833995087,13.279839901477605,0.04801572216748527,0.7044190167487595,0.5742217842364483,-0.2255314540711115,-1.2062206032843032,13544.334815270577,2295.1675711724206,0.011649909852216388,0.643124646116508
Oman,99.97552366127027,41.49486550435884,,,,,,,,,,,,,,,,,0.0003530510585310374,0.1390879202988744,,,,,,,,,,,,,,,,
Poland,99.99569551681194,29.571811955167846,22528.084147691727,55.84211956521767,8062.242315270982,49.959510869565065,14558.307299342268,44.26494565217445,6589.733448275903,3.22470762758622,61.4845877714306,21.4456924177332,16.07829058809193,60.03108486966187,401811.28449460864,10483.853825892322,1.613203835467985,13.313214097302989,-0.0003037359900371192,-0.39119003735990204,609.7736960700397,0.8960721343873534,48.476391625615435,0.8665266798418957,91.91328901174316,0.82798913043478,37.25379310344799,0.025919451724138415,2.7955584596059038,0.9750848098522393,-0.43880614267297835,-0.3207885574705988,45830.7032399013,1197.093971220635,0.0119926541871928,1.1759395189951503
Portugal,63.482986924037505,11.05262889165607,29934.776913015798,74.25534615384618,2623.286502463063,66.46246153846155,4803.513497536948,58.973538461538624,2180.2242364531958,0.857807908374383,85.70403497142888,33.22879851822677,19.673503318246844,82.14243771084693,189308.25354187936,18301.185092767468,0.6495333113300426,8.16787988715214,-2.5236608966376535,-0.15284259028641795,49.391761031746626,-0.30963461538461595,-8.957364532020353,-0.02384615384615802,0.8129679802952986,0.25484615384615217,9.770677339901424,-0.0012302083743841834,0.9891207492610755,0.3834976162561528,-0.4031651930543641,-2.6197880743214106,9611.657509852135,921.5617225418938,-0.004255538916255944,2.0211968902406126
Romania,100.20336986301362,20.48862640099628,,,,,,,,1.7350304295567867,50.36005052381006,14.174534614942104,13.95704459494982,,140305.1420864761,6210.690319847781,0.7270784088670013,,-0.0705917808219185,-0.2657113325031123,,,,,,,,0.13774054975369232,3.447282333333282,0.9702854318555013,-0.5228065340872633,,23970.28381335533,1284.2210368962583,0.05887268719211836,
Russia,95.79938418430879,15.96103113325006,,68.42151913752934,35309.57987179482,64.54834109557123,65941.62322134431,61.05949613053605,34754.6040792541,16.808371619706122,69.06163571794968,17.02321252307729,,,1280066.8604308963,8863.123636564706,6.668158227969343,45.40722788135281,-0.9994965130759469,-0.1961407222914139,,0.3938984965034945,87.28038461538748,0.3271835314685124,364.3152865612588,0.26099433566433683,11.180489510488394,2.3238405389161976,2.233448099145305,0.5505294225640973,,,162485.99957333365,1114.7336680837539,1.0132588303229373,0.31434623327945505
